pdf_path,pages,scanned_pages,ocr_pages,pdftotext_pages,garbled_pages,garbled_ratio,skipped_image_only_pages,dropped_noise_spans_total,ocr_backend,ocr_available
D:\code\Github\SLAC-test\SLAC\data\en\2018-03_Track_Rail_Infrastructure.pdf,565,565,67,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\en\CELEX%3A32013R0321%3AEN%3ATXT.pdf,56,56,0,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\en\CELEX%3A32014R1299%3AEN%3ATXT.pdf,109,109,0,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\en\CELEX%3A32014R1300%3AEN%3ATXT.pdf,69,69,0,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\en\CELEX%3A32014R1301%3AEN%3ATXT.pdf,49,49,0,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\en\CELEX%3A32014R1302%3AEN%3ATXT.pdf,166,166,0,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\en\CELEX%3A32014R1303%3AEN%3ATXT.pdf,27,27,0,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\en\CELEX%3A32014R1304%3AEN%3ATXT.pdf,17,17,0,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\en\CELEX%3A32014R1305%3AEN%3ATXT.pdf,51,51,0,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\en\CELEX%3A32019R0773%3AEN%3ATXT.pdf,84,84,9,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\en\CELEX%3A32023R1695%3AEN%3ATXT.pdf,181,181,0,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\en\GEGN8502-iss-2.pdf,78,78,0,0,0,0.0,0,0,tesseract,True
