doc_font_median,errors,garbled_hint,language,line_merges,logical_lines,marker_rejected_table,median_line_height,mode,pages,pdf_path,prefix_dropped,prefix_fixed,raw_lines,removed_decor,removed_header_footer,removed_page_num,strong_marker_ratio,strong_markers,toc_pages,type_heading,type_list-item,type_other,type_paragraph,type_title,unit_drafts,units,valid,weak_marker_ratio,weak_markers
11.04,,False,en,10013,18740,0,14.694,marker_stack_tree,565,D:\code\Github\SLAC-test\SLAC\data\en\2018-03_Track_Rail_Infrastructure.pdf,0,0,30424,31,0,2205,0.320339,567,"0,1,6",280,74,354,1062,1,1770,1771,True,0.041808,74
8.445,,False,en,463,3070,0,10.134,marker_stack_tree,56,D:\code\Github\SLAC-test\SLAC\data\en\CELEX%3A32013R0321%3AEN%3ATXT.pdf,0,0,3755,0,112,166,0.240506,57,"3,13,14",96,52,49,40,1,237,238,True,0.532828,211
9.595,,False,en,728,5196,0,9.595,marker_stack_tree,109,D:\code\Github\SLAC-test\SLAC\data\en\CELEX%3A32014R1299%3AEN%3ATXT.pdf,1,0,6650,0,218,617,0.487528,215,6,281,45,38,77,1,441,442,True,0.102041,45
9.595,,False,en,588,2808,0,9.595,marker_stack_tree,69,D:\code\Github\SLAC-test\SLAC\data\en\CELEX%3A32014R1300%3AEN%3ATXT.pdf,0,0,3614,0,138,149,0.405858,97,6,139,73,2,26,,239,240,True,0.525714,184
9.595,,False,en,283,2339,0,9.595,marker_stack_tree,49,D:\code\Github\SLAC-test\SLAC\data\en\CELEX%3A32014R1301%3AEN%3ATXT.pdf,0,0,2852,0,98,181,0.204724,26,6,59,44,6,18,1,127,128,True,0.346457,44
9.595,,False,en,1820,8908,0,9.595,marker_stack_tree,166,D:\code\Github\SLAC-test\SLAC\data\en\CELEX%3A32014R1302%3AEN%3ATXT.pdf,0,0,11221,0,332,327,0.301158,156,,235,165,17,102,,518,519,True,0.559301,448
9.595,,False,en,203,1238,0,9.595,marker_stack_tree,27,D:\code\Github\SLAC-test\SLAC\data\en\CELEX%3A32014R1303%3AEN%3ATXT.pdf,0,0,1543,0,54,75,0.444444,36,,55,18,1,7,1,81,82,True,0.222222,18
9.595,,False,en,185,666,0,9.595,marker_stack_tree,17,D:\code\Github\SLAC-test\SLAC\data\en\CELEX%3A32014R1304%3AEN%3ATXT.pdf,0,0,938,0,34,70,0.227273,10,4,19,17,2,6,1,44,45,True,0.386364,17
9.595,,False,en,797,1853,0,9.595,marker_stack_tree,51,D:\code\Github\SLAC-test\SLAC\data\en\CELEX%3A32014R1305%3AEN%3ATXT.pdf,0,0,2771,0,102,70,0.348485,46,"3,11,15",71,35,4,23,,132,133,True,0.624031,161
9.595,,False,en,634,3666,0,9.595,marker_stack_tree,84,D:\code\Github\SLAC-test\SLAC\data\en\CELEX%3A32019R0773%3AEN%3ATXT.pdf,0,0,4392,0,168,8,0.448845,136,"3,12",186,84,3,30,1,303,304,True,0.555781,274
9.595,,False,en,1544,8606,0,9.595,marker_stack_tree,181,D:\code\Github\SLAC-test\SLAC\data\en\CELEX%3A32023R1695%3AEN%3ATXT.pdf,0,0,10664,0,362,333,0.464351,254,7,350,56,32,109,1,547,548,True,0.102377,56
11.0,,False,en,1250,2508,0,12.364,marker_stack_tree,78,D:\code\Github\SLAC-test\SLAC\data\en\GEGN8502-iss-2.pdf,0,0,4419,0,607,132,0.259259,28,"3,18",26,2,3,77,1,108,109,True,0.018519,2
9.96,,False,en,374,834,0,11.105,marker_stack_tree,27,D:\code\Github\SLAC-test\SLAC\data\en\GEGN8618-Iss-1.pdf,2,0,1341,0,132,28,0.322581,10,2,23,,2,7,,31,32,True,0.0,0
11.0,,False,en,1127,2302,0,12.364,marker_stack_tree,72,D:\code\Github\SLAC-test\SLAC\data\en\GEGN8628-Iss-2.pdf,0,0,3978,0,573,48,0.18797,25,2,18,36,2,77,1,133,134,True,0.270677,36
9.0,,False,en,264,300,0,10.044,marker_stack_tree,24,D:\code\Github\SLAC-test\SLAC\data\en\gert8000-hb17-iss-5.pdf,0,0,644,0,64,39,0.638298,30,"0,1",31,2,2,12,1,47,48,True,0.042553,2
11.0,,False,en,1124,1898,0,12.364,marker_stack_tree,64,D:\code\Github\SLAC-test\SLAC\data\en\GIGN7608-Iss-3.pdf,0,0,3505,0,503,44,0.545024,115,3,86,24,6,95,1,211,212,True,0.113744,24
9.96,,False,en,1114,2276,0,11.105,marker_stack_tree,67,D:\code\Github\SLAC-test\SLAC\data\en\GMRT2045-Iss-4.pdf,11,0,4497,0,804,370,0.482759,70,"3,4",59,8,3,75,1,145,146,True,0.055172,8
11.0,,False,en,429,844,0,12.364,marker_stack_tree,32,D:\code\Github\SLAC-test\SLAC\data\en\GMRT2111-Iss-3.pdf,0,0,1532,0,254,37,0.4,18,3,24,,2,19,1,45,46,True,0.0,0
9.96,,False,en,423,1339,0,11.105,marker_stack_tree,29,D:\code\Github\SLAC-test\SLAC\data\en\GMRT2142-Iss-41.pdf,3,0,2122,0,264,125,0.472727,26,2,22,,2,31,1,55,56,True,0.0,0
11.0,,False,en,378,1217,0,12.364,marker_stack_tree,38,D:\code\Github\SLAC-test\SLAC\data\en\GOGN3616-Iss-1-1.pdf,0,0,1896,0,296,43,0.173913,8,3,6,,2,38,1,46,47,True,0.0,0
9.595,,False,en,1172,3840,0,9.596,marker_stack_tree,85,D:\code\Github\SLAC-test\SLAC\data\en\OJ%3AL_202600253%3AEN%3ATXT.pdf,0,0,5268,0,169,172,0.47929,81,,116,10,1,43,,169,170,True,0.059172,10
9.96,,False,en,186,308,0,13.257,marker_stack_tree,12,D:\code\Github\SLAC-test\SLAC\data\en\RIS-1800-ENE-Iss-1.pdf,0,0,565,0,70,13,0.5,9,2,11,,2,6,,18,19,True,0.0,0
11.0,,False,en,144,309,0,12.364,marker_stack_tree,11,D:\code\Github\SLAC-test\SLAC\data\en\RIS-3413-TOM-Iss-2.pdf,0,0,539,0,87,10,0.357143,5,2,5,,2,8,,14,15,True,0.0,0
11.0,,False,en,393,891,0,12.364,marker_stack_tree,34,D:\code\Github\SLAC-test\SLAC\data\en\RIS-3782-TOM-Iss-1.pdf,0,0,1612,0,271,91,0.217391,10,2,13,6,2,25,1,46,47,True,0.130435,6
11.0,,False,en,776,2481,0,12.364,marker_stack_tree,74,D:\code\Github\SLAC-test\SLAC\data\en\RIS-7704-INS-Iss-1.pdf,0,0,4035,0,590,262,0.162879,43,2,53,97,37,77,1,264,265,True,0.367424,97
