errors,language,merged_lines,mode,pages,prefix_dropped,prefix_fixed,stitched_marker_fragments,strong_marker_ratio,strong_marker_starts,txt_path,units,valid,weak_marker_ratio,weak_marker_starts
,zh,328,marker_stack_tree,1,0,0,0,0.991379,115,D:\code\Github\SLAC-test\SLAC\data\extracted_text\13281-2008-gbt-e-300.txt,117,True,0.0,0
,en,2194,marker_stack_tree,1,1,0,0,0.612903,76,D:\code\Github\SLAC-test\SLAC\data\extracted_text\2018-03_Track_Rail_Infrastructure.txt,125,True,0.387097,48
,other,59,marker_stack_tree,1,0,0,0,0.5,1,D:\code\Github\SLAC-test\SLAC\data\extracted_text\20908-2007-gbt-e-300.txt,3,True,0.0,0
,zh,133,marker_stack_tree,1,0,0,0,0.995146,205,D:\code\Github\SLAC-test\SLAC\data\extracted_text\23430-2009-gbt-e-300.txt,207,True,0.0,0
,zh,121,marker_stack_tree,1,0,0,0,0.870968,27,D:\code\Github\SLAC-test\SLAC\data\extracted_text\25772-2010-gbt-e-300.txt,32,True,0.096774,3
,zh,36,marker_stack_tree,1,0,0,0,0.709302,122,D:\code\Github\SLAC-test\SLAC\data\extracted_text\30012-2013-gbt-cd-300.txt,173,True,0.284884,49
,zh,42,marker_stack_tree,1,0,0,0,0.767241,89,D:\code\Github\SLAC-test\SLAC\data\extracted_text\30013-2013-gbt-e-300.txt,117,True,0.224138,26
,en,313,marker_stack_tree,1,0,0,9,0.036199,8,D:\code\Github\SLAC-test\SLAC\data\extracted_text\CELEX%3A32013R0321%3AEN%3ATXT.txt,222,True,0.959276,212
,en,163,marker_stack_tree,1,0,0,12,0.324675,25,D:\code\Github\SLAC-test\SLAC\data\extracted_text\CELEX%3A32014R1299%3AEN%3ATXT.txt,78,True,0.662338,51
,en,184,marker_stack_tree,1,0,0,12,0.020942,4,D:\code\Github\SLAC-test\SLAC\data\extracted_text\CELEX%3A32014R1300%3AEN%3ATXT.txt,192,True,0.979058,187
,en,306,marker_stack_tree,1,0,0,12,0.4,32,D:\code\Github\SLAC-test\SLAC\data\extracted_text\CELEX%3A32014R1301%3AEN%3ATXT.txt,81,True,0.6,48
